ANNO	USA_Inflation_yearly_avg
2024	0.031
2023	0.041
2022	0.08
2021	0.047
2020	0.012
2019	0.018
2018	0.024
2017	0.021
2016	0.013
2015	0.001
2014	0.016
2013	0.015
2012	0.021
2011	0.031
2010	0.017
2009	-0.004
2008	0.039
2007	0.028
2006	0.032
2005	0.034
2004	0.027
2003	0.023
2002	0.016
2001	0.028
2000	0.034
1999	0.022
1998	0.016
1997	0.024
1996	0.029
1995	0.028
1994	0.026
1993	0.03
1992	0.03
1991	0.042
1990	0.054
1989	0.048
1988	0.041
1987	0.036
1986	0.019
1985	0.036
1984	0.043
1983	0.032
1982	0.062
1981	0.103
1980	0.135
1979	0.113
1978	0.076
1977	0.065
1976	0.058
1975	0.091
1974	0.11
1973	0.062
1972	0.032
1971	0.044
1970	0.057
